"Part name","Quantity","Width mm","Length mm","Height mm","Description",
"2040 Z 700","4","40,000","20,000","700,000","2040 Z 700 No Tap",
"2040 Y 460 T","4","40,000","20,000","460,000","2040 Y 460 Tapped",
"2040 X Top 500","1","40,000","20,000","500,000","2040 X Top Support 500",
"2040 X 420 T","4","40,000","20,000","420,000","2040 X 420 Tapped",
"2020 Z Center Back 500","1","20,000","500,000","20,000","2020 Z Center Back 500",
"MGN_12_H_CARRAGE","5","27,000","10,000","50,400","",
"M3 Hammer-Nut","25","10,000","6,000","4,500","",
"m3x08 SH DIN 912 ISO 4762 + HN","25","5,500","5,487","11,000","",
"MGN 12h 350","5","12,000","8,000","350,000","",
"M5 WASHER","32","10,000","10,000","1,100","",
"M5 WASHER","32","10,000","10,000","1,100","",
"M5x10 BH","32","9,498","9,498","12,750","",
"M5x10 BH","32","9,498","9,498","12,750","",
"2820 L Bracket","32","28,000","20,000","28,000","",
"M5 T-Nut OB","32","15,000","10,000","3,000","OpenBuilds Tee Nut",
"M5 T-Nut OB","32","15,000","10,000","3,000","OpenBuilds Tee Nut",
"M5 WASHER","6","10,000","10,000","1,100","",
"M5 WASHER","6","10,000","10,000","1,100","",
"M5x10 BH","6","9,498","9,498","12,750","",
"M5x10 BH","6","9,498","9,498","12,750","",
"2020 L Bracket","6","20,000","17,000","20,000","2020 L Bracket",
"M5 T-Nut OB","6","15,000","10,000","3,000","OpenBuilds Tee Nut",
"M5 T-Nut OB","6","15,000","10,000","3,000","OpenBuilds Tee Nut",
"Leg Nut","4","33,996","33,158","10,000","",
"M5x10 HH DIN 933 ISO 4017","4","8,000","9,238","13,500","",
"DoorStop","4","19,603","19,574","10,000","",
"Adjustable Leg 2040","4","40,000","20,000","11,000","",
