Part name,Quantity,Description
Z 2040 700,4,
Y 2040 480,4,
X 2040 420,4,
Z 2020 Center Back 339,1,
M3 Nut Hammer Nut,30,
M3x08 SH DIN 912 ISO 4762 + HN,30,
MGN_12_H_CARRAGE,5,
MGN 12h 400,2,
MGN 12h 350,3,
2820 L Bracket,32,
M5 WASHER,32,
M5 WASHER,32,
M5x10 BH,32,
M5x10 BH,32,
M5 T-Nut OB,32,
M5 T-Nut OB,32,
2820 L Bracket(Mirror),4,
M5 WASHER v1(Mirror),4,
M5 WASHER v1 (1)(Mirror),4,
M5x10 BH v1(Mirror),4,
M5x10 BH v1 (1)(Mirror),4,
M5 T-Nut OB v1(Mirror),4,
M5 T-Nut OB v1 (1)(Mirror),4,
M5x10 BH ISO 7380,28,
M5 Nut Hammer Nut,20,
M5 WASHER DIN 125,20,
Joining Plate 90 Deg,4,
X 2020 Top Back 420,1,
M5 Nut Locknut,8,
Leg Nut,4,
DoorStop,4,
M5x30 BH,4,
Adjustable Leg 2040,4,
