"Part","Qty"
"2820 L-Bracket",34
"Joining Plate 90 Deg v9",2
"M5 LOCK NUT v1",8
"M5 Nut Hammer Nut v3",81
"M5 WASHER DIN 125 v2",78
"M5x10 BH ISO 7380 v4",81
"M5x30 BH ISO 7380 v1",4
"M6x10 BH ISO 7380 v6",42
"T-Slot 2020 X Frame Profile",1
"T-Slot 2020 Z Frame Profile Center",1
"T-Slot 2020 Z Frame Profile Center Top",1
"T-Slot 2040 X Frame Profile",4
"T-Slot 2040 Y Frame Profile Tapped",4
"T-Slot 2040 Z Frame Profile Tapped",4
"V2 Adjustable Leg 2040 v16",4
"V2 DoorStop",4
"V2 Leg Nut_4x",4
"V2 Z Support Bracket",1
"V201 Valkyrie Frame",1
